"obs","InvEventFK","InvCount","InvName","sitetaxa","newtaxa","sing_doub","uniq_dup"
"163",5688,"CBay13_0094",6,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"164",5706,"CBay13_0092",6,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"165",5711,"CBay13_0048",6,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"166",5744,"CBay13_1557",6,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"167",5751,"CBay13_1609",6,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"168",5793,"CBay13_0066",7,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"169",5812,"CBay13_0114",7,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"170",5814,"CBay13_0073",7,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"171",5823,"CBay13_0093",7,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"172",5840,"CBay13_0309",7,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"173",5919,"CBay13_0020",7,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"174",5933,"CBay13_1613",7,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"175",6028,"CBay13_0001",8,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"176",6044,"CBay13_0072",8,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"177",6057,"CBay13_0166",8,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"178",6069,"CBay13_0064",8,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"179",6102,"CBay13_0144",8,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"180",6105,"CBay13_1618",8,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"181",6145,"CBay13_0109",9,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"182",6147,"CBay13_0179",9,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"183",6172,"CBay13_0021",9,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"184",6198,"CBay13_0213",9,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"185",6218,"CBay13_0158",9,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"186",6250,"CBay13_1628",9,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"187",6255,"CBay13_1644",9,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"188",6299,"CBay13_0014",10,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"189",6308,"CBay13_0017",10,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"190",6359,"CBay13_1581",10,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"191",6364,"CBay13_1652",10,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"192",6371,"CBay13_1545",10,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"193",6394,"CBay13_0057",11,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
